city,tmef,wf,tmn,tmx
서울,2022-07-01 00:00,흐리고 비,23,29
서울,2022-07-01 12:00,흐리고 비,23,29
서울,2022-07-02 00:00,흐림,23,29
서울,2022-07-02 12:00,구름많음,23,29
서울,2022-07-03 00:00,구름많음,23,30
서울,2022-07-03 12:00,구름많음,23,30
서울,2022-07-04 00:00,흐림,23,29
서울,2022-07-04 12:00,흐림,23,29
서울,2022-07-05 00:00,흐림,23,28
서울,2022-07-05 12:00,흐리고 비,23,28
서울,2022-07-06 00:00,흐리고 비,23,29
서울,2022-07-07 00:00,흐리고 비,23,28
서울,2022-07-08 00:00,흐림,23,28
인천,2022-07-01 00:00,흐리고 비,23,27
인천,2022-07-01 12:00,흐리고 비,23,27
인천,2022-07-02 00:00,흐림,23,28
인천,2022-07-02 12:00,구름많음,23,28
인천,2022-07-03 00:00,구름많음,22,27
인천,2022-07-03 12:00,구름많음,22,27
인천,2022-07-04 00:00,흐림,23,27
인천,2022-07-04 12:00,흐림,23,27
인천,2022-07-05 00:00,흐림,23,27
인천,2022-07-05 12:00,흐리고 비,23,27
인천,2022-07-06 00:00,흐리고 비,23,27
인천,2022-07-07 00:00,흐리고 비,23,27
인천,2022-07-08 00:00,흐림,22,28
수원,2022-07-01 00:00,흐리고 비,23,29
수원,2022-07-01 12:00,흐리고 비,23,29
수원,2022-07-02 00:00,흐림,23,30
수원,2022-07-02 12:00,구름많음,23,30
수원,2022-07-03 00:00,구름많음,23,30
수원,2022-07-03 12:00,구름많음,23,30
수원,2022-07-04 00:00,흐림,23,29
수원,2022-07-04 12:00,흐림,23,29
수원,2022-07-05 00:00,흐림,23,29
수원,2022-07-05 12:00,흐리고 비,23,29
수원,2022-07-06 00:00,흐리고 비,23,29
수원,2022-07-07 00:00,흐리고 비,24,29
수원,2022-07-08 00:00,흐림,23,29
파주,2022-07-01 00:00,흐리고 비,22,27
파주,2022-07-01 12:00,흐리고 비,22,27
파주,2022-07-02 00:00,흐림,22,29
파주,2022-07-02 12:00,구름많음,22,29
파주,2022-07-03 00:00,구름많음,21,29
파주,2022-07-03 12:00,구름많음,21,29
파주,2022-07-04 00:00,흐림,22,29
파주,2022-07-04 12:00,흐림,22,29
파주,2022-07-05 00:00,흐림,22,28
파주,2022-07-05 12:00,흐리고 비,22,28
파주,2022-07-06 00:00,흐리고 비,23,28
파주,2022-07-07 00:00,흐리고 비,23,28
파주,2022-07-08 00:00,흐림,23,28
이천,2022-07-01 00:00,흐리고 비,22,30
이천,2022-07-01 12:00,흐리고 비,22,30
이천,2022-07-02 00:00,흐림,22,31
이천,2022-07-02 12:00,구름많음,22,31
이천,2022-07-03 00:00,구름많음,22,31
이천,2022-07-03 12:00,구름많음,22,31
이천,2022-07-04 00:00,흐림,22,30
이천,2022-07-04 12:00,흐림,22,30
이천,2022-07-05 00:00,흐림,23,30
이천,2022-07-05 12:00,흐리고 비,23,30
이천,2022-07-06 00:00,흐리고 비,23,30
이천,2022-07-07 00:00,흐리고 비,23,30
이천,2022-07-08 00:00,흐림,23,30
평택,2022-07-01 00:00,흐리고 비,23,30
평택,2022-07-01 12:00,흐리고 비,23,30
평택,2022-07-02 00:00,흐림,23,32
평택,2022-07-02 12:00,구름많음,23,32
평택,2022-07-03 00:00,구름많음,23,30
평택,2022-07-03 12:00,구름많음,23,30
평택,2022-07-04 00:00,흐림,23,30
평택,2022-07-04 12:00,흐림,23,30
평택,2022-07-05 00:00,흐림,23,30
평택,2022-07-05 12:00,흐리고 비,23,30
