지점명,매장주소,시도,군구,lat,lng
개포,"서울특별시 강남구 논현로 58 (개포동, 동진빌딩)",서울특별시,강남구,37.4755612,127.0472399
논현,서울특별시 강남구 학동로4길 15,서울특별시,강남구,37.5105207,127.0235534
대치,서울특별시 강남구 대치동  역삼로 444,서울특별시,강남구,37.5018676,127.0556986
삼성,서울특별시 강남구 봉은사로 451 (삼성동),서울특별시,강남구,37.5120471,127.0490263
압구정,서울특별시 강남구 압구정로 306 (신사동),서울특별시,강남구,37.5288635,127.0347606
역삼,서울특별시 강남구 역삼로  146 청오빌딩,서울특별시,강남구,37.4945247,127.0353681
일원,"서울특별시 강남구 일원로9길 18, 태경빌딩 102호 (일원동)",서울특별시,강남구,37.4896505,127.0831347
강일,서울특별시 강동구 상일로 127 (고덕동),서울특별시,강동구,37.5585096,127.1709077
길동,"서울특별시 강동구 천중로 200 (길동, 다성이즈빌)",서울특별시,강동구,37.5407165,127.1425690
둔촌,"서울특별시 강동구 풍성로 186, 1층 (성내동)",서울특별시,강동구,37.5298086,127.1323739
천호암사,서울특별시 강동구 올림픽로 738 (천호동),서울특별시,강동구,37.5469963,127.1269933
미아,"서울특별시 강북구 삼양로24길 19, 102동 101호 (미아동, 현대성우아파트)",서울특별시,강북구,37.6172672,127.0223046
번동,"서울특별시 강북구 덕릉로 147 (번동, 선경빌딩)",서울특별시,강북구,37.6353654,127.0301348
수유,"서울특별시 강북구 한천로 1131, 104호 (수유동, 수유현대아파트)",서울특별시,강북구,37.6454957,127.0182963
강서구청,서울특별시 강서구 까치산로 189-1,서울특별시,강서구,37.5541459,126.8538918
등촌가양,서울특별시 강서구 강서로 447,서울특별시,강서구,37.5655200,126.8399971
발산,서울특별시 강서구 강서로 211  1층,서울특별시,강서구,37.5445729,126.8371986
방화,서울특별시 강서구 금낭화로 69 (방화동),서울특별시,강서구,37.5715479,126.8113644
염창,"서울특별시 강서구 양천로 731, 309동 102~3호 (염창동, 동아3차아파트)",서울특별시,강서구,37.5497940,126.8776792
화곡,서울특별시 강서구 곰달래로 66 (화곡동),서울특별시,강서구,37.5300223,126.8401009
낙성대,"서울특별시 관악구 남부순환로 1862 (봉천동, 일송빌딩)",서울특별시,관악구,37.4795434,126.9565370
독산난곡,서울특별시 관악구 난곡로 276  도미노피자 독산난곡점,서울특별시,관악구,37.4786619,126.9154002
보라매,서울특별시 관악구 봉천로 283-1 (봉천동),서울특별시,관악구,37.4875880,126.9328112
신림,서울특별시 관악구 신림로 123 (신림동),서울특별시,관악구,37.4707467,126.9356588
구의광장,서울특별시 광진구 광나루로 562,서울특별시,광진구,37.5440673,127.0918889
