지점명,매장주소
개포,"서울특별시 강남구 논현로 58 (개포동, 동진빌딩)"
논현,서울특별시 강남구 학동로4길 15
대치,서울특별시 강남구 대치동  역삼로 444
삼성,서울특별시 강남구 봉은사로 451 (삼성동)
압구정,서울특별시 강남구 압구정로 306 (신사동)
역삼,서울특별시 강남구 역삼로  146 청오빌딩
일원,"서울특별시 강남구 일원로9길 18, 태경빌딩 102호 (일원동)"
강일,서울특별시 강동구 상일로 127 (고덕동)
길동,"서울특별시 강동구 천중로 200 (길동, 다성이즈빌)"
둔촌,"서울특별시 강동구 풍성로 186, 1층 (성내동)"
천호암사,서울특별시 강동구 올림픽로 738 (천호동)
미아,"서울특별시 강북구 삼양로24길 19, 102동 101호 (미아동, 현대성우아파트)"
번동,"서울특별시 강북구 덕릉로 147 (번동, 선경빌딩)"
수유,"서울특별시 강북구 한천로 1131, 104호 (수유동, 수유현대아파트)"
강서구청,서울특별시 강서구 까치산로 189-1
등촌가양,서울특별시 강서구 강서로 447
발산,서울특별시 강서구 강서로 211  1층
방화,서울특별시 강서구 금낭화로 69 (방화동)
염창,"서울특별시 강서구 양천로 731, 309동 102~3호 (염창동, 동아3차아파트)"
화곡,서울특별시 강서구 곰달래로 66 (화곡동)
낙성대,"서울특별시 관악구 남부순환로 1862 (봉천동, 일송빌딩)"
독산난곡,서울특별시 관악구 난곡로 276  도미노피자 독산난곡점
보라매,서울특별시 관악구 봉천로 283-1 (봉천동)
신림,서울특별시 관악구 신림로 123 (신림동)
구의광장,서울특별시 광진구 광나루로 562
군자,서울특별시 광진구 능동로 253 태영빌딩 1층
자양,"서울특별시 광진구 아차산로 312, 101호 (자양동, 드림타운)"
중곡,서울특별시 광진구 용마산로 39 (중곡동)
개봉,"서울특별시 구로구 중앙로8길 11, 상가 104호 (고척동, 고척월드메르디앙)"
구로,서울특별시 구로구 구로동로 218 (구로동)
신도림,"서울특별시 구로구 경인로61길 21 1층  103,104호 (신도림동, 신도림 크라운빌)"
천왕,"서울특별시 구로구 오류동 오리로 1160, 101호 (오류동)"
가산,서울특별시 금천구 가산로 146 (가산동)
시흥,서울특별시 금천구 독산로 3 (시흥동)
공릉,"서울특별시 노원구 화랑로 465, 101,102호 (공릉동, 엘네스트빌오피스텔)"
당고개,"서울특별시 노원구 덕릉로 740 (상계동, 정진빌딩)"
상계,서울특별시 노원구 노원로 558 (상계동)
