,자치구명,구명,지점명,매장주소,위도,경도
0,서울특별시,강남구,개포,"서울특별시 강남구 논현로 58 (개포동, 동진빌딩)",37.4755612,127.0472399
1,서울특별시,강남구,논현,서울특별시 강남구 학동로4길 15,37.5105207,127.0235534
3,서울특별시,강남구,압구정,서울특별시 강남구 압구정로 306 (신사동),37.5288635,127.0347606
4,서울특별시,강남구,역삼,서울특별시 강남구 역삼로  146 청오빌딩,37.4945247,127.0353681
5,서울특별시,강남구,일원,"서울특별시 강남구 일원로9길 18, 태경빌딩 102호 (일원동)",37.4896505,127.0831347
6,서울특별시,강동구,강일,서울특별시 강동구 상일로 127 (고덕동),37.5585096,127.1709077
7,서울특별시,강동구,길동,"서울특별시 강동구 천중로 200 (길동, 다성이즈빌)",37.5407165,127.1425690
8,서울특별시,강동구,둔촌,"서울특별시 강동구 풍성로 186, 1층 (성내동)",37.5298086,127.1323739
9,서울특별시,강동구,천호암사,서울특별시 강동구 올림픽로 738 (천호동),37.5469963,127.1269933
10,서울특별시,강북구,미아,"서울특별시 강북구 삼양로24길 19, 102동 101호 (미아동, 현대성우아파트)",37.6172672,127.0223046
11,서울특별시,강북구,번동,"서울특별시 강북구 덕릉로 147 (번동, 선경빌딩)",37.6353654,127.0301348
12,서울특별시,강북구,수유,"서울특별시 강북구 한천로 1131, 104호 (수유동, 수유현대아파트)",37.6454957,127.0182963
13,서울특별시,강서구,강서구청,서울특별시 강서구 까치산로 189-1,37.5541459,126.8538918
14,서울특별시,강서구,등촌가양,서울특별시 강서구 강서로 447,37.5655200,126.8399971
15,서울특별시,강서구,발산,서울특별시 강서구 강서로 211  1층,37.5445729,126.8371986
16,서울특별시,강서구,방화,서울특별시 강서구 금낭화로 69 (방화동),37.5715479,126.8113644
17,서울특별시,강서구,염창,"서울특별시 강서구 양천로 731, 309동 102~3호 (염창동, 동아3차아파트)",37.5497940,126.8776792
18,서울특별시,강서구,화곡,서울특별시 강서구 곰달래로 66 (화곡동),37.5300223,126.8401009
19,서울특별시,관악구,낙성대,"서울특별시 관악구 남부순환로 1862 (봉천동, 일송빌딩)",37.4795434,126.9565370
20,서울특별시,관악구,독산난곡,서울특별시 관악구 난곡로 276  도미노피자 독산난곡점,37.4786619,126.9154002
21,서울특별시,관악구,보라매,서울특별시 관악구 봉천로 283-1 (봉천동),37.4875880,126.9328112
22,서울특별시,관악구,신림,서울특별시 관악구 신림로 123 (신림동),37.4707467,126.9356588
23,서울특별시,광진구,구의광장,서울특별시 광진구 광나루로 562,37.5440673,127.0918889
24,서울특별시,광진구,군자,서울특별시 광진구 능동로 253 태영빌딩 1층,37.5527873,127.0768001
25,서울특별시,광진구,자양,"서울특별시 광진구 아차산로 312, 101호 (자양동, 드림타운)",37.5377719,127.0773659
26,서울특별시,광진구,중곡,서울특별시 광진구 용마산로 39 (중곡동),37.5571683,127.0876622
27,서울특별시,구로구,개봉,"서울특별시 구로구 중앙로8길 11, 상가 104호 (고척동, 고척월드메르디앙)",37.5029770,126.8632164
28,서울특별시,구로구,구로,서울특별시 구로구 구로동로 218 (구로동),37.4980265,126.8827473
29,서울특별시,구로구,신도림,"서울특별시 구로구 경인로61길 21 1층  103,104호 (신도림동, 신도림 크라운빌)",37.5077899,126.8840609
30,서울특별시,금천구,가산,서울특별시 금천구 가산로 146 (가산동),37.4783602,126.8910545
32,서울특별시,노원구,공릉,"서울특별시 노원구 화랑로 465, 101,102호 (공릉동, 엘네스트빌오피스텔)",37.6191506,127.0788952
33,서울특별시,노원구,당고개,"서울특별시 노원구 덕릉로 740 (상계동, 정진빌딩)",37.6636595,127.0764125
34,서울특별시,노원구,상계,서울특별시 노원구 노원로 558 (상계동),37.6615514,127.0571267
35,서울특별시,노원구,월계,서울특별시 노원구 광운로 52 (월계동),37.6218963,127.0596997
36,서울특별시,노원구,중계,"서울특별시 노원구 한글비석로8길 41, 상가 102호 (중계동, 주공6단지아파트)",37.6486487,127.0783625
37,서울특별시,도봉구,도봉,서울특별시 도봉구 도봉로 775 (도봉동),37.6737483,127.0440016
38,서울특별시,도봉구,쌍문,"서울특별시 도봉구 해등로 139 (창동, 미소애아파트)",37.6561398,127.0401990
39,서울특별시,동대문구,고대,서울특별시 동대문구 안암로 82 (제기동),37.5832071,127.0303032
40,서울특별시,동대문구,이문,서울특별시 동대문구 휘경로 5-1 (이문동),37.5963772,127.0609450
41,서울특별시,동대문구,장안,서울특별시 동대문구 한천로 95 (답십리동),37.5700636,127.0642936
42,서울특별시,동대문구,전농,"서울시 동대문구 서울시립대로 75 102동 106호(전농동, 전농동신성미소지움아파트)",37.5783198,127.0486607
43,서울특별시,동대문구,홍릉,"서울특별시 동대문구 회기로 30, 1층 (제기동)",37.5910826,127.0398168
44,서울특별시,동작구,사당,서울특별시 동작구 사당로 155  1층,37.4877952,126.9670117
45,서울특별시,동작구,상도,서울특별시 동작구 상도로 302 (상도동),37.5007361,126.9494065
46,서울특별시,동작구,중앙대,서울특별시 동작구 현충로 136  1층,37.5062127,126.9682741
47,서울특별시,마포구,마포,"서울특별시 마포구 백범로 123 (염리동, 신양빌딩)",37.5468195,126.9449237
48,서울특별시,마포구,망원,서울특별시 마포구 월드컵로10길 5 (서교동),37.5545668,126.9120314
49,서울특별시,마포구,상암,서울특별시 마포구 월드컵북로 336 (상암동),37.5760649,126.8946901
50,서울특별시,마포구,신촌,"서울특별시 마포구 창전로 60, 1층 104~105호 (구수동, 서강빌딩)",37.5477946,126.9329072
51,서울특별시,서대문구,서대문,서울특별시 서대문구 통일로 149-1 (냉천동),37.5675317,126.9646453
52,서울특별시,서대문구,연희,서울특별시 서대문구 연희로 95 (연희동),37.5666166,126.9304366
53,서울특별시,서대문구,홍제,서울특별시 서대문구 세검정로 72 (홍제동),37.5939523,126.9482799
54,서울특별시,서초구,동서초,"서울특별시 서초구 서운로 220, 1층 2,3호 (서초동, 대지스포츠플라자)",37.5027161,127.0217872
55,서울특별시,서초구,방배역,"서울특별시 서초구 효령로 140 (방배동, 서진빌딩)",37.4814618,126.9993005
56,서울특별시,서초구,방배,서울특별시 서초구 방배로 254 (방배동),37.4957829,126.9888563
57,서울특별시,서초구,서방배,서울특별시 서초구 효령로 22 멤버스뷰,37.4774345,126.9875091
58,서울특별시,서초구,서초,"서울특별시 서초구 사임당로 115  지하1층 B101,B102호",37.4911711,127.0223638
59,서울특별시,서초구,양재,"서울특별시 서초구 바우뫼로 198, 1층 (양재동, 신우빌딩)",37.4796661,127.0412095
60,서울특별시,서초구,잠원,"서울특별시 서초구 나루터로 61, 101호 (잠원동, 태승빌딩)",37.5154150,127.0167450
61,서울특별시,성동구,성수2호,"서울특별시 성동구 성수일로 1, 1층 (성수동1가)",37.5408590,127.0478669
62,서울특별시,성동구,옥수,"서울특별시 성동구 독서당로 212, 1층 (옥수동)",37.5434070,127.0144130
