"광역시도","hong","투표율"
"경기도",1637345,20.8503308799138
"서울특별시",1365285,17.3858557575728
"경상북도",827237,10.5342277688009
"경상남도",790491,10.0662956845344
"부산광역시",720484,9.17481031406563
"대구광역시",714205,9.09485207215878
"인천광역시",379191,4.82870611672273
"충청남도",306614,3.9044937703501
"강원도",284909,3.6280972676286
"충청북도",255502,3.25362171105035
"울산광역시",203602,2.59271507703765
"대전광역시",191376,2.43702635820452
"제주특별자치도",68063,0.86673002371496
"전라북도",40231,0.512310882330731
"전라남도",30221,0.384841221319804
"세종특별자치시",23211,0.295574255916547
"광주광역시",14882,0.189510838677784
