Player,Pos,3P,TRB,BLK
Denzel Valentine,SG,1.3,2.6,0.1
Garrett Temple,SG,1.3,2.8,0.4
Danny Green,SG,1.7,3.3,0.8
Rodney Hood,SG,1.9,3.4,0.2
Tristan Thompson,C,0.0,9.2,1.1
Joel Embiid,C,1.2,7.8,2.5
Troy Daniels,SG,2.1,1.5,0.1
Willie Reed,C,0.0,4.7,0.7
Devin Booker,SG,1.9,3.2,0.3
Avery Bradley,SG,2.0,6.1,0.2
Andre Drummond,C,0.0,13.8,1.1
Anthony Davis,C,0.5,11.8,2.2
Austin Rivers,SG,1.5,2.2,0.1
Frank Kaminsky,C,1.5,4.5,0.5
Sean Kilpatrick,SG,1.5,4.0,0.1
Justin Holiday,SG,1.2,2.7,0.4
Chris Andersen,C,0.0,2.6,0.6
Jonas Valanciunas,C,0.0,9.5,0.8
Clint Capela,C,0.0,8.1,1.2
Brook Lopez,C,1.8,5.4,1.7
Steven Adams,C,0.0,7.7,1.0
John Henson,C,0.0,5.1,1.3
Alexis Ajinca,C,0.0,4.5,0.6
Alex Len,C,0.0,6.6,1.3
Allen Crabbe,SG,1.7,2.9,0.3
Ben McLemore,SG,1.1,2.1,0.1
Wesley Matthews,SG,2.4,3.5,0.2
DeMarcus Cousins,C,1.8,11.0,1.3
Pau Gasol,C,0.9,7.8,1.1
JaVale McGee,C,0.0,3.2,0.9
Nikola Vucevic,C,0.3,10.4,1.0
Nikola Jokic,C,0.6,9.8,0.8
Will Barton,SG,1.5,4.3,0.5
DeAndre Jordan,C,0.0,13.8,1.7
Dewayne Dedmon,C,0.0,6.5,0.8
Jordan Crawford,SG,1.9,1.8,0.1
Victor Oladipo,SG,1.9,4.3,0.3
Bismack Biyombo,C,0.0,7.0,1.1
Myles Turner,C,0.5,7.3,2.1
Nene Hilario,C,0.0,4.2,0.6
Patrick Beverley,SG,1.6,5.9,0.4
Jodie Meeks,SG,1.6,2.1,0.1
J.R. Smith,SG,2.3,2.8,0.3
Robin Lopez,C,0.0,6.4,1.4
Kosta Koufos,C,0.0,5.7,0.7
C.J. McCollum,SG,2.3,3.6,0.5
Marc Gasol,C,1.4,6.3,1.3
Evan Fournier,SG,1.9,3.1,0.1
Hassan Whiteside,C,0.0,14.1,2.1
Salah Mejri,C,0.0,4.2,0.8
Manu Ginobili,SG,1.3,2.3,0.2
Eric Gordon,SG,3.3,2.7,0.5
Jordan Clarkson,SG,1.4,3.0,0.1
Kyle Korver,SG,2.4,2.8,0.3
Justin Hamilton,C,0.9,4.1,0.7
Willie Cauley-Stein,C,0.0,4.5,0.6
J.J. Redick,SG,2.6,2.2,0.2
Tarik Black,C,0.0,5.1,0.7
Lou Williams,SG,2.0,2.5,0.2
Alex Abrines,SG,1.4,1.3,0.1
Nik Stauskas,SG,1.7,2.8,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Tim Hardaway,SG,1.9,2.8,0.2
Marcus Smart,SG,1.2,3.9,0.4
Mason Plumlee,C,0.0,7.5,1.1
Karl-Anthony Towns,C,1.2,12.3,1.3
Edy Tavares,C,0.0,5.5,3.0
Rudy Gobert,C,0.0,12.8,2.6
E'Twaun Moore,SG,1.1,2.1,0.4
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Joe Harris,SG,1.6,2.8,0.2
Richaun Holmes,C,0.5,5.5,1.0
Klay Thompson,SG,3.4,3.7,0.5
Bradley Beal,SG,2.9,3.1,0.3
Dwight Howard,C,0.0,12.7,1.2
Timofey Mozgov,C,0.0,4.9,0.6
Courtney Lee,SG,1.4,3.4,0.3
Tony Snell,SG,1.8,3.1,0.2
Ian Mahinmi,C,0.0,4.8,0.8
Marco Belinelli,SG,1.4,2.4,0.1
